model_year,milage,accident,clean_title,price,turbo,brand_encoded,engine_score
2014,78568.0,0,1,15500.0,0,3,-0.7352092352092351
2018,95000.0,0,1,43000.0,0,4,-0.07049062049062042
2018,4529.0,0,1,417500.0,1,5,0.3097402597402597
2021,25240.0,1,0,39951.0,1,4,-0.5135642135642136
2011,88300.0,1,1,11500.0,0,3,-0.24148629148629142
2013,98000.0,1,1,27499.0,0,4,0.47907647907647916
2018,20675.0,0,1,76000.0,0,4,-0.054689754689754656
2008,95000.0,0,1,10900.0,0,3,0.4466089466089467
2010,107000.0,1,1,6250.0,0,2,-0.8542568542568542
2016,60000.0,1,1,24700.0,0,4,0.011544011544011587
2012,33000.0,0,1,34999.0,0,2,-0.48997113997113995
2023,500.0,0,1,60000.0,0,5,0.24595959595959596
2016,108500.0,0,1,63500.0,0,5,1.4684704184704185
2017,37800.0,0,1,149500.0,0,3,0.6351370851370851
2018,74422.0,0,0,44798.0,1,5,0.31435786435786445
2019,55621.0,0,0,34562.0,0,4,-0.03167388167388157
2021,46707.0,1,1,32541.0,1,2,-0.58008658008658
2022,26500.0,0,1,65900.0,0,4,0.2920634920634921
2020,10001.0,0,1,47214.0,0,3,0.6872294372294371
2019,19050.0,0,1,76900.0,0,4,0.6896825396825398
2020,52000.0,0,1,35800.0,0,4,-0.002308802308802251
2014,65000.0,1,1,54999.0,0,5,-0.38369408369408364
2004,140000.0,0,1,6730.0,0,4,-0.2955988455988456
2018,75600.0,1,1,14950.0,0,4,-0.8276334776334776
2015,117292.0,0,1,12000.0,0,3,-0.6113997113997113
2005,1897.0,0,0,429998.0,0,4,0.41883116883116883
2017,26000.0,0,1,33600.0,0,5,0.6717171717171718
2022,2071.0,0,0,99950.0,0,4,0.7391774891774893
2014,15629.0,0,0,61900.0,0,4,0.7794372294372294
2008,15020.0,0,1,18500.0,0,1,-0.7103174603174603
2022,11322.0,0,0,119900.0,1,4,0.7360750360750362
2016,50361.0,0,0,65998.0,0,3,0.6595238095238095
2013,115000.0,1,1,36000.0,0,5,0.6325396825396825
2005,28500.0,0,1,63500.0,0,5,0.13513708513708514
2018,51700.0,0,1,32000.0,0,5,-0.28997113997113994
2008,148949.0,0,1,3900.0,0,4,-0.12936507936507932
2018,39300.0,1,1,31750.0,0,4,-0.06940836940836936
2008,82323.0,0,1,28500.0,0,2,-0.5882395382395381
2023,3574.0,0,0,34998.0,1,3,-0.6054112554112554
2001,109357.0,0,1,12749.0,0,4,0.8825396825396826
2004,46000.0,0,1,18853.0,0,5,0.39076479076479087
2007,123112.0,1,1,104999.0,0,5,0.6569985569985571
2007,37100.0,0,1,16900.0,0,2,-0.02698412698412694
2016,89000.0,0,1,14500.0,0,2,-0.6828282828282828
2022,1240.0,0,0,53900.0,0,3,0.86002886002886
2019,67073.0,1,1,47999.0,0,3,0.3158730158730159
2015,28700.0,1,0,24900.0,0,6,0.13059163059163062
2023,8200.0,0,1,93999.0,0,5,1.4356421356421356
2018,41000.0,0,1,108900.0,0,5,1.087950937950938
