model_year,milage,accident,clean_title,price,horsepower,turbo,is_luxury,is_upper_class
2004,271000.0,1,1,9500,300.0,0,0,0
2023,15736.0,0,1,67900,389.0,0,0,0
2018,29850.0,0,1,89750,550.0,0,0,1
2007,59700.0,0,1,9500,268.0,0,0,0
2015,72200.0,0,1,52500,370.0,0,0,1
1999,184700.0,0,1,36950,240.0,0,0,0
2013,115000.0,1,1,36000,429.0,0,0,0
2016,85000.0,0,1,32750,355.0,0,0,0
2021,20497.0,0,0,22999,,1,0,0
2012,85252.0,0,1,18500,326.0,0,0,0
2016,70582.0,1,1,35000,300.0,0,0,0
2018,9712.0,0,0,188900,,0,0,1
2019,29000.0,0,1,34500,247.0,0,0,0
2019,81301.0,0,1,30275,,0,0,0
2004,154000.0,1,1,10000,235.0,0,0,0
2019,20623.0,0,1,36800,330.0,0,0,0
2008,33300.0,0,1,34500,382.0,0,0,0
2023,6682.0,0,0,47798,,0,0,0
2022,15000.0,0,1,63000,335.0,0,0,0
2015,106000.0,0,1,37500,301.0,0,0,0
2021,11938.0,1,0,209000,572.0,0,0,1
2003,80081.0,0,1,12500,302.0,0,0,0
2021,42750.0,0,1,25698,,1,0,0
2003,143600.0,0,1,4199,180.0,0,0,0
2016,71000.0,0,1,21500,265.0,0,0,0
2006,215000.0,1,1,6995,345.0,0,0,0
2020,20909.0,0,1,35387,,0,0,0
2015,47000.0,0,1,30089,362.0,0,0,0
2020,59355.0,0,1,72995,,0,0,0
2002,60255.0,0,1,28750,333.0,0,0,0
2014,120000.0,1,0,20000,300.0,0,0,0
2015,112552.0,1,1,24440,,0,0,0
2019,36283.0,0,0,39598,,0,0,0
2014,99100.0,0,1,32000,550.0,0,0,1
2015,159000.0,1,1,26900,355.0,0,0,0
2014,79785.0,1,1,16488,328.0,0,0,0
2008,39800.0,0,1,13250,158.0,0,0,0
2004,56600.0,0,1,23000,302.0,0,0,0
2011,135000.0,0,1,9999,300.0,0,0,0
2016,49643.0,1,1,33995,402.0,0,0,0
2023,1563.0,0,1,62500,285.0,0,0,0
2012,47245.0,0,1,19600,201.0,0,0,0
2008,106000.0,0,1,4300,156.0,0,0,0
2021,17500.0,0,1,59995,382.0,0,0,0
2012,77000.0,0,1,13800,211.0,0,0,0
2008,80000.0,0,1,31000,430.0,0,0,0
2022,21057.0,0,1,99800,617.0,0,0,0
2023,211.0,0,1,99000,835.0,0,0,0
2002,69300.0,1,1,9995,225.0,0,0,0
2023,923.0,0,0,46998,,0,0,0
2017,19650.0,0,1,69250,400.0,0,0,0
2016,72784.0,0,1,34900,449.0,0,0,0
2020,29000.0,0,1,70000,355.0,0,0,0
2023,7102.0,0,1,40995,,1,0,0
2020,22200.0,0,1,36800,287.0,0,0,0
2018,20500.0,0,1,67000,600.0,0,0,0
2021,36905.0,0,1,50000,382.0,0,0,0
2005,97146.0,1,1,7999,295.0,0,0,0
2004,173452.0,1,1,4000,130.0,0,0,0
2020,92000.0,0,1,50000,420.0,0,0,0
2002,110500.0,0,1,27000,240.0,0,0,0
2023,1500.0,0,1,149000,379.0,0,0,1
2016,135000.0,0,1,20000,360.0,0,0,0
2005,108000.0,0,1,7850,160.0,0,0,0
2022,16744.0,0,0,46999,,0,0,1
2019,55100.0,0,0,28324,,1,0,0
2018,56006.0,0,1,59000,575.0,0,0,0
2010,81500.0,0,1,12250,182.0,0,0,0
2015,49000.0,0,1,23500,201.0,0,0,0
2015,99000.0,0,1,27000,310.0,0,0,0
2022,18465.0,0,1,47500,400.0,0,0,0
2022,36466.0,0,0,24980,,0,0,0
2019,60000.0,0,1,37000,316.0,0,0,0
2004,167000.0,0,1,8000,300.0,0,0,0
2023,11806.0,0,1,47000,310.0,0,0,0
2015,162000.0,0,1,13999,175.0,0,0,0
2014,92861.0,0,1,19750,375.0,0,0,0
2013,43903.0,1,1,12500,200.0,0,0,0
2014,124838.0,0,1,33000,381.0,0,0,0
2019,57800.0,0,1,55999,425.0,0,0,0
2015,84000.0,1,1,22800,240.0,0,0,0
2023,1148.0,0,0,193063,,1,0,0
2016,76495.0,1,1,13000,200.0,0,0,0
2022,13610.0,0,0,27450,,0,0,0
2012,86629.0,0,1,20995,320.0,0,0,0
2016,59250.0,0,1,18999,220.0,0,0,0
2019,45900.0,1,1,41500,335.0,0,0,0
2015,47800.0,1,1,11500,101.0,0,0,0
1993,58981.0,0,1,9599,,0,0,0
2010,69000.0,0,1,20000,315.0,0,0,0
2022,16184.0,0,0,46999,,0,0,1
2019,12985.0,1,1,96000,603.0,0,0,0
2009,56000.0,0,1,44850,518.0,0,0,0
2008,149000.0,0,1,3850,173.0,0,0,0
2019,54900.0,1,1,48500,335.0,0,0,0
2020,2750.0,0,1,104500,797.0,0,0,0
2010,131100.0,1,1,12995,310.0,0,0,0
2024,3880.0,0,1,52991,,0,0,0
2017,80134.0,0,1,13895,,0,0,0
2023,4126.0,1,0,155000,395.0,0,0,0
2012,98400.0,0,1,18000,333.0,0,0,0
2023,4500.0,0,1,89999,835.0,0,0,0
2018,22558.0,0,1,47645,,1,0,0
2017,63000.0,0,1,20000,,0,0,0
2013,18494.0,1,0,86900,400.0,0,0,1
2008,133500.0,0,1,18500,414.0,0,0,0
2021,68050.0,0,1,29600,291.0,0,0,0
2022,2523.0,0,0,288900,,0,1,0
2003,97496.0,1,0,24500,390.0,0,0,0
2015,111000.0,1,1,15000,240.0,0,0,0
2009,152068.0,1,1,12350,403.0,0,0,0
2015,60100.0,0,1,24995,300.0,0,0,0
2019,58000.0,0,1,36500,360.0,0,0,0
2022,11860.0,0,1,92500,670.0,0,0,1
2013,46150.0,1,1,17000,306.0,0,0,0
2021,33080.0,0,1,47850,325.0,0,0,0
2022,24900.0,0,1,49900,310.0,0,0,0
2012,148377.0,1,0,5500,138.0,0,0,0
2018,45578.0,0,1,45023,375.0,0,0,0
2024,1500.0,0,1,90000,335.0,0,0,0
2022,13700.0,0,1,39500,191.0,0,0,0
2008,77700.0,0,1,6300,156.0,0,0,0
2020,52673.0,0,1,69500,445.0,0,0,0
2022,3369.0,0,1,139500,395.0,0,0,0
2017,117878.0,0,1,42000,350.0,0,0,1
2019,47850.0,1,1,127899,416.0,0,0,0
2019,52300.0,0,1,49900,340.0,0,0,0
2014,70612.0,0,1,14500,201.0,0,0,0
2011,105000.0,1,1,21900,414.0,0,0,0
2022,85200.0,0,1,67500,445.0,0,0,0
2021,27598.0,0,0,39884,,0,0,0
2023,324.0,0,0,199998,,0,0,0
2018,61000.0,0,1,65000,471.0,0,0,0
2016,117780.0,0,1,27750,270.0,0,0,0
2014,86818.0,0,1,33500,240.0,0,0,1
2008,132500.0,0,1,35000,325.0,0,0,1
2019,7033.0,0,1,63900,460.0,0,0,0
2001,90400.0,0,1,4495,140.0,0,0,0
2022,18815.0,0,0,61998,,1,0,0
2014,50100.0,0,1,10795,240.0,0,0,0
2012,113000.0,0,1,10000,270.0,0,0,0
2019,106000.0,1,1,12000,166.0,0,0,0
2017,27965.0,0,1,58000,560.0,0,0,0
2013,56837.0,1,1,10500,132.0,0,0,0
2021,52000.0,0,1,61000,355.0,0,0,0
1994,85000.0,0,1,7900,,0,0,0
2020,38000.0,0,1,41999,291.0,0,0,0
2015,18651.0,0,1,59549,560.0,0,0,0
2010,63000.0,1,1,38500,500.0,0,0,1
2020,13000.0,0,1,39500,285.0,0,0,0
2011,106500.0,1,1,22500,,0,0,0
2008,81219.0,0,1,8500,232.0,0,0,0
2023,11500.0,0,1,54490,315.0,0,0,0
2008,93000.0,1,1,12000,268.0,0,0,0
2022,1919.0,0,0,289991,,0,1,0
2023,8532.0,0,0,109900,,1,0,0
2017,89000.0,0,1,29999,355.0,0,0,0
2022,38671.0,0,0,66998,,1,0,0
2017,73000.0,1,1,78000,563.0,0,0,0
2010,135000.0,0,1,3999,168.0,0,0,0
2001,21450.0,0,1,36000,300.0,0,0,1
2021,36267.0,0,0,39798,,1,0,0
2021,25352.0,0,1,48459,,1,0,0
2005,75000.0,1,0,17500,240.0,0,0,1
2023,13232.0,0,1,45000,346.0,0,0,0
2023,7000.0,0,1,144900,600.0,0,0,0
2007,136000.0,0,1,12500,273.0,0,0,0
2022,11238.0,0,0,54798,,0,0,0
2012,200000.0,1,1,9995,380.0,0,0,0
2012,80000.0,0,1,30000,285.0,0,0,0
2001,167000.0,1,1,6500,300.0,0,0,0
2015,124000.0,0,1,25000,420.0,0,0,1
2017,82975.0,0,1,31000,301.0,0,0,0
2015,39500.0,0,1,52590,440.0,0,0,1
2018,50000.0,0,1,27500,280.0,0,0,0
2019,42094.0,0,1,32000,,0,0,1
2015,37000.0,0,1,45950,560.0,0,0,0
2016,73000.0,0,1,23999,320.0,0,0,0
1999,72000.0,0,1,12250,201.0,0,0,1
2019,87768.0,0,1,44000,395.0,0,0,1
2020,55403.0,1,1,29444,310.0,0,0,0
2007,101750.0,0,1,12900,242.0,0,0,1
2019,37226.0,0,0,34998,,0,0,0
